Pump Speed n [rpm],Water Temperature T [°C],Inlet Pressure Pin [kPa],Flow Rate Q [l/s],Inlet Velocity Vin [m/s],Outlet Velocity Vout [m/s],Elevation Head He [m],Outlet Pressure Pout [kPa],Motor Torque t [Nm]
900,25.1,1.262,0.0527,0.1216,0.2192,0.075,21.48,0.0402
900,25.45,1.262,0.1191,0.2747,0.4953,0.075,20.78,0.1098
900,25.5,1.212,0.2793,0.6439,1.1612,0.075,19.64,0.1345
900,25.3,0.858,0.4258,0.9817,1.7702,0.075,18.15,0.1484
900,25.25,0.454,0.5449,1.2563,2.2655,0.075,17.17,0.1561
900,25.35,0.000,0.6641,1.5310,2.7609,0.075,15.45,0.2041
900,25.15,-0.303,0.7168,1.6526,2.9801,0.075,14.54,0.2041
900,25.2,-0.555,0.7695,1.7742,3.1993,0.075,13.91,0.2242
900,25.1,-0.909,0.8242,1.9003,3.4267,0.075,12.77,0.1994
900,25.4,-1.262,0.9023,2.0804,3.7515,0.075,11.86,0.2535
900,25.45,-1.464,0.9160,2.1119,3.8084,0.075,11.16,0.2473
900,25.3,-1.767,0.9570,2.2065,3.9789,0.075,10.25,0.2597
900,25.3,-1.969,0.9824,2.2650,4.0844,0.075,10.02,0.2674
900,24.9,-2.020,1.0098,2.3281,4.1981,0.075,9.74,0.2891
900,24.95,-2.322,1.0352,2.3866,4.3037,0.075,9.16,0.2736
900,25.55,-2.423,1.0762,2.4812,4.4742,0.075,9.04,0.2922
900,25.35,-2.474,1.0625,2.4496,4.4174,0.075,9.24,0.3061
900,25.15,-2.474,1.0625,2.4496,4.4174,0.075,9.14,0.2953
900,25.2,-2.575,1.0762,2.4812,4.4742,0.075,9.06,0.3138
900,25.25,-2.575,1.0625,2.4496,4.4174,0.075,9.06,0.3308
